Username,Comment
@GenZ_Tech_Gaming,My samsung f15 faced issue called screen burning the youtube search logo get permanent on the screen when I close the app it still shows and anyos me does it cover under warranty
@raynesispearl2650,Just purchased Xiaomi 15 and the pad 7 with the nano display with the focus pen. Damn the experience has been great.
@shahronak_,Suggest good headphones around 3k
@gopaltherover,Good for creators
@mayurivinchurkar7372,Sir why not one plus pad 2
@priyanshuraaz2822,Lenevo me to pen bhi de Raha hai 
@shi539,Comment kar deta hu like milegaa 
@GurunadhRaoRao,Waiting for samsung tab s10 fe and s10 fe+
@RJ-nj1zh,Bro students ke liye offer milta hai
@jrb4688,Trakin Tech Guys Support Kijiye Sir Ko
@yaduvanshianurag0909,OnePlus  kyu ni btya aapne
@ankitsandil8762,Bhai samsung ka tab kaha he
@your-entertainment-needs,What about one plus pad 2 it has s 8 gen 3
@m.s8345,Arun bhai one plus ka pad bula diya apne 
@SidharthaSankarBiswal-k9f,Bro LTE and also 5g tab please under 35k
@MOHAMMEDIBRAHIMMOHAMMEDIBR-h3t,Poco pad has 5G connectivity bro you said mistake
@DurgeshGupta-i3b,15 million 
@BenedictCumberbatch-wo1tt,Under 10 to 12k lenovo m11
@ViratGaliyan,Bro poco pad is 5g not wifi
@TheCamperZ,Watching in samsung galaxy a9+ 
@Dharuv-Parashar007,Motorola ads
@hironsaikh2365,Please someone tell me best 5G tablet within 25000
@shreyaswakchaure467,They should start giving amoled display on tablets …as its used for content watching….please give this review to brands …it can be a differentiator …as many of the use tablet for content consumption
@BenedictCumberbatch-wo1tt,Under 30 k please buy apple 
@officialvicky473,Lenovo idea tab pro ka unboxing kariye
@nivanshi111,2:23 lenvo p12 please 
@shivprasadpatro3795,"Kya xaomi tab 3-4 saal chalega , ya mujhe apple ke taraf dekhna chahiye , i am a mbbs student , so studies is my first priority"
@mrunknownahir_rky,laptop under 40k video kb aayega
@RuhulAmin-my5oj,Love from Bangladesh Arun vai...
@barium8500,"Bhai..app video bana ne se pehle research nahi krte ho kya..
Bhai under 11k honor pad 9a is best and under 16k oneplus pad go is the best and under 20k lenovo pad p12 is the best. Bhai app thora aache se research kr liya kro..aacha nahi lagta jtne bada chanel hai or kuch bhe suggest kr rhe hoo.."
@RajivSharma-ni8ld,"make a comparion video of oneplus pad 2 vs ipad 11th gen, because i am looking for to buy one, an i have oneplus phone"
@Ahkam2-q2t,Lenovo tab p12 under 18k ma kaisa rahega  
@BenedictCumberbatch-wo1tt,Under 20k Lenovo pad p12 
